ID,BirdID,Year,Date,SunriseTimeDaylightSavings,TimeCapt,TimeOfDay,Sex,SexMF,Stage,Ageminyears,Agecat,PCV,PCVcntr,PCVcntr2,PCV_percent,PCV_percent_cntr,PCV_percent_cntr2,Hb,Hbcntr,Hbcntr2,Hbdiv10,Hbdiv10cntr,Hbdiv10cntr2,TPP,TPPcntr,TPPcntr2,HL_original,Log10HL_original,Log10HL_original_cntr,Log10HL_original_cntr2,HLAllOlyas,Log10HLAllOlyas,Log10HLAllOlyas_cntr,Log10HLAllOlyas_cntr2,SMI,SMIcntr,SMIcntr2,Muscle,Musclecntr,Musclecntr2,Fat,Fatcntr,Fatcntr2,PC1,PC1sq,PC2,PC2sq,PC3,PC3sq,NumberIndependent
85,026-46548,3(2008-09),29-Mar-09,6:41,7:04,23,0,F,N,1,1Y,0.51,0.029571,0.000874,51,3,9,176,0,0,17.6,0,0,4.5,-0.4479,0.200576,0.195122,-0.709694,-0.489132,0.23925,0.195122,-0.709694,-0.504322,0.254341,9.35,-0.7553,0.5706,1,-0.75,0.5572,0,-1.94,3.747,1.185233,1.404777,0.572131,0.327333,-1.064559,1.133286,3
86,026-46554,3(2008-09),30-Mar-09,5:41,5:44,3,1,M,N,2,A1Y,0.52,0.039571,0.001566,52,4,16,200,24,576,20,2.4,5.76,4.6,-0.3479,0.121005,0.470588,-0.327359,-0.106797,0.011406,0.470588,-0.327359,-0.121987,0.014881,10.03,-0.0784,0.0062,2,0.25,0.0643,1.5,-0.44,0.1898,1.887487,3.562608,-0.811502,0.658535,0.394148,0.155352,3
89,026-46566,3(2008-09),16-Apr-09,5:45,7:56,131,0,F,N,1,1Y,0.495,0.014571,0.000212,49.5,1.5,2.25,175,-1,1,17.5,-0.1,0.01,5.1,0.1521,0.023147,0.287671,-0.541104,-0.320542,0.102747,0.287671,-0.541104,-0.335732,0.112716,9.63,-0.4792,0.2297,2,0.25,0.0643,1,-0.94,0.8756,0.646786,0.418332,-0.515821,0.266071,-0.791431,0.626363,1
90,026-46573,4(2009-10),8-Mar-10,5:37,9:51,254,0,F,N,1,1Y,0.48,-0.000429,0,48,0,0,171,-5,25,17.1,-0.5,0.25,4.1,-0.8479,0.718862,0.960784,-0.017374,0.203188,0.041285,0.960784,-0.017374,0.187998,0.035343,10.5,0.3916,0.1534,1,-0.75,0.5572,1,-0.94,0.8756,-0.007802,0.000061,1.142161,1.304531,-0.472525,0.22328,0
94,026-49143,3(2008-09),31-Mar-09,5:42,5:49,7,0,F,L,3,A1Y,0.42,-0.060429,0.003652,42,-6,36,138,-38,1444,13.8,-3.8,14.44,6.2,1.2521,1.567862,0.685185,-0.164192,0.05637,0.003178,0.685185,-0.164192,0.04118,0.001696,10.84,0.7294,0.532,1,-0.75,0.5572,0,-1.94,3.747,-3.200889,10.245693,0.890912,0.793725,-1.666704,2.777903,2
96,026-49268,4(2009-10),4-Mar-10,5:36,9:24,228,1,M,N,4,A1Y,0.46,-0.020429,0.000417,46,-2,4,178,2,4,17.8,0.2,0.04,4.8,-0.1479,0.021862,2.703704,0.431959,0.652521,0.425783,2.703704,0.431959,0.637331,0.406191,9.78,-0.3324,0.1105,2,0.25,0.0643,1,-0.94,0.8756,0.310936,0.096681,1.149626,1.321641,-0.464637,0.215887,1
105,026-49404,4(2009-10),29-Dec-09,5:02,5:28,26,1,M,pre,4,A1Y,0.45,-0.030429,0.000926,45,-3,9,170,-6,36,17,-0.6,0.36,5,0.0521,0.002719,0.470588,-0.327359,-0.106797,0.011406,0.470588,-0.327359,-0.121987,0.014881,9.62,-0.4854,0.2357,1.5,-0.25,0.0607,1,-0.94,0.8756,-0.390019,0.152115,0.655844,0.430131,-0.990311,0.980716,0
107,026-49436,3(2008-09),12-Feb-09,6:29,8:35,126,0,F,I,3,A1Y,0.45,-0.030429,0.000926,45,-3,9,175,-1,1,17.5,-0.1,0.01,5,0.0521,0.002719,0.455882,-0.341147,-0.120586,0.014541,0.886792,-0.052178,0.153194,0.023468,12.11,2.0039,4.0154,1.5,-0.25,0.0607,3.5,1.56,2.447,-1.975953,3.904391,-0.85469,0.730496,1.04521,1.092463,4
108,026-49445,4(2009-10),23-Jan-10,5:18,6:43,85,1,M,L,4,A1Y,0.5,0.019571,0.000383,50,2,4,185,9,81,18.5,0.9,0.81,4.4,-0.5479,0.300147,0.388889,-0.410174,-0.189613,0.035953,0.388889,-0.410174,-0.204802,0.041944,10.65,0.5384,0.2899,2,0.25,0.0643,2,0.06,0.0041,0.748458,0.56019,-1.053395,1.109641,-0.004421,0.00002,2
109,026-49508,4(2009-10),2-Feb-10,5:23,9:36,253,1,M,L,3,A1Y,0.5,0.019571,0.000383,50,2,4,194,18,324,19.4,1.8,3.24,4.1,-0.8479,0.718862,0.492537,-0.307561,-0.086999,0.007569,0.492537,-0.307561,-0.102189,0.010443,10.41,0.3019,0.0911,2,0.25,0.0643,1.5,-0.44,0.1898,1.459135,2.129076,-0.74481,0.554742,-0.130998,0.01716,3
110,026-49527,4(2009-10),1-Mar-10,5:35,7:45,130,1,M,N,3,A1Y,0.51,0.029571,0.000874,51,3,9,185,9,81,18.5,0.9,0.81,4.1,-0.8479,0.718862,0.960784,-0.017374,0.203188,0.041285,0.960784,-0.017374,0.187998,0.035343,10.25,0.1403,0.0197,2,0.25,0.0643,2,0.06,0.0041,1.268201,1.608335,-0.098937,0.009788,0.204007,0.041619,0
111,026-49528,3(2008-09),11-May-09,5:52,6:34,42,0,F,post,2,A1Y,0.47,-0.010429,0.000109,47,-1,1,177,1,1,17.7,0.1,0.01,5,0.0521,0.002719,0.273973,-0.562293,-0.341731,0.11678,0.149425,-0.825576,-0.620204,0.384653,10.58,0.4704,0.2213,2,0.25,0.0643,0,-1.94,3.747,0.154064,0.023736,-1.500192,2.250577,-1.702618,2.898908,5
113,026-49691,3(2008-09),24-Feb-09,6:33,10:03,210,0,F,N,2,A1Y,0.53,0.049571,0.002457,53,5,25,201,25,625,20.1,2.5,6.25,4.8,-0.1479,0.021862,0.347222,-0.459392,-0.238831,0.05704,0.347222,-0.459392,-0.25402,0.064526,9.61,-0.499,0.249,1.5,-0.25,0.0607,2,0.06,0.0041,1.837226,3.375401,-0.336842,0.113463,1.022149,1.044788,0
115,026-49801,3(2008-09),15-May-09,5:53,6:45,52,1,M,post,2,A1Y,0.485,0.004571,0.000021,48.5,0.5,0.25,180,4,16,18,0.4,0.16,4.1,-0.8479,0.718862,0.223684,-0.650365,-0.429803,0.184731,0.408451,-0.38886,-0.183488,0.033668,10.82,0.7118,0.5066,2,0.25,0.0643,0,-1.94,3.747,0.886852,0.786506,-0.838006,0.702255,-1.527345,2.332784,1
116,026-49809,3(2008-09),9-Feb-09,6:27,11:54,327,0,F,I,2,A1Y,0.41,-0.070429,0.00496,41,-7,49,157,-19,361,15.7,-1.9,3.61,4.9,-0.0479,0.00229,0.088889,-1.051153,-0.830591,0.689881,0.123596,-0.907997,-0.702625,0.493682,10.52,0.4133,0.1708,1.5,-0.25,0.0607,2,0.06,0.0041,-2.088885,4.363441,-0.58054,0.337026,-1.534871,2.355828,3
117,026-49809,4(2009-10),2-Feb-10,5:23,9:36,253,0,F,L,3,A1Y,0.38,-0.100429,0.010086,38,-10,100,140,-36,1296,14,-3.6,12.96,6,1.0521,1.107005,1.564103,0.194265,0.414827,0.172081,1.564103,0.194265,0.399637,0.15971,11.87,1.7615,3.1028,1.5,-0.25,0.0607,3.5,1.56,2.447,-4.737552,22.444399,0.26357,0.069469,0.004053,0.000016,3
119,026-49815,3(2008-09),31-Mar-09,5:42,5:49,7,1,M,L,2,A1Y,0.44,-0.040429,0.001634,44,-4,16,169,-7,49,16.9,-0.7,0.49,4.9,-0.0479,0.00229,0.146341,-0.834633,-0.614071,0.377083,0.282051,-0.549672,-0.3443,0.118542,9.72,-0.3862,0.1492,2,0.25,0.0643,0,-1.94,3.747,-0.1318,0.017371,-0.167999,0.028224,-2.152784,4.634481,2
121,026-49848,4(2009-10),31-Dec-09,5:04,5:49,45,1,M,pre,3,A1Y,0.475,-0.005429,0.000029,47.5,-0.5,0.25,181,5,25,18.1,0.5,0.25,4.6,-0.3479,0.121005,0.666667,-0.176091,0.04447,0.001978,0.666667,-0.176091,0.029281,0.000857,9.58,-0.526,0.2767,1,-0.75,0.5572,1,-0.94,0.8756,0.418402,0.17506,1.28939,1.662528,-0.247031,0.061024,2
122,026-49851,3(2008-09),14-Apr-09,5:44,5:35,-9,0,F,N,1,1Y,0.54,0.059571,0.003549,54,6,36,188,12,144,18.8,1.2,1.44,4.5,-0.4479,0.200576,0.189873,-0.721536,-0.500974,0.250975,0.176471,-0.753328,-0.547956,0.300255,9.77,-0.3402,0.1157,1.5,-0.25,0.0607,2.5,0.56,0.3184,1.511415,2.284377,-0.730665,0.533871,0.725921,0.526961,3
123,026-49853,3(2008-09),9-Apr-09,5:43,8:45,182,1,M,N,1,1Y,0.5,0.019571,0.000383,50,2,4,182,6,36,18.2,0.6,0.36,3.8,-1.1479,1.317576,0.324324,-0.48902,-0.268459,0.07207,0.32,-0.49485,-0.289478,0.083798,10.46,0.3521,0.124,2,0.25,0.0643,0,-1.94,3.747,1.529049,2.337992,-0.76985,0.592669,-1.57464,2.47949,5
129,026-49880,3(2008-09),13-Mar-09,6:38,9:58,200,0,F,L,1,1Y,0.49,0.009571,0.000092,49,1,1,163,-13,169,16.3,-1.3,1.69,6.5,1.5521,2.409147,0.921569,-0.035472,0.185089,0.034258,0.921569,-0.035472,0.1699,0.028866,11.08,0.9695,0.9399,2,0.25,0.0643,2.5,0.56,0.3184,-1.656345,2.743477,-0.971843,0.944479,0.83909,0.704072,3
132,026-49880,4(2009-10),8-Mar-10,5:37,10:19,282,0,F,N,2,A1Y,0.53,0.049571,0.002457,53,5,25,206,30,900,20.6,3,9,4.9,-0.0479,0.00229,0.724138,-0.140179,0.080383,0.006461,0.724138,-0.140179,0.065193,0.00425,10.27,0.1561,0.0244,2,0.25,0.0643,1,-0.94,0.8756,2.096317,4.394546,-0.862095,0.743208,0.664783,0.441936,0
136,026-49886,4(2009-10),13-Dec-09,4:55,5:11,16,1,M,pre,2,A1Y,0.49,0.009571,0.000092,49,1,1,186,10,100,18.6,1,1,4.6,-0.3479,0.121005,0.380282,-0.419895,-0.199333,0.039734,0.380282,-0.419895,-0.214523,0.04602,9.07,-1.0353,1.0719,1,-0.75,0.5572,2,0.06,0.0041,0.835095,0.697384,1.075868,1.157492,0.373341,0.139383,0
137,026-59533,3(2008-09),30-Mar-09,5:41,5:44,3,0,F,I,1,1Y,0.505,0.024571,0.000604,50.5,2.5,6.25,190,14,196,19,1.4,1.96,4.7,-0.2479,0.061433,0.637931,-0.195226,0.025335,0.000642,0.637931,-0.195226,0.010146,0.000103,9.53,-0.5846,0.3417,2,0.25,0.0643,1.5,-0.44,0.1898,1.489018,2.217174,-0.053876,0.002903,0.0608,0.003697,1
139,026-59926,4(2009-10),25-Mar-10,5:40,6:43,63,1,M,N,2,A1Y,0.46,-0.020429,0.000417,46,-2,4,161,-15,225,16.1,-1.5,2.25,4.4,-0.5479,0.300147,1.439024,0.158068,0.37863,0.143361,1.439024,0.158068,0.36344,0.132089,10.72,0.6143,0.3773,2,0.25,0.0643,2,0.06,0.0041,-0.747358,0.558544,0.331883,0.110147,-0.62557,0.391338,3
140,026-59955,4(2009-10),16-Mar-10,5:39,6:10,31,1,M,N,1,1Y,0.49,0.009571,0.000092,49,1,1,161,-15,225,16.1,-1.5,2.25,4.9,-0.0479,0.00229,1.702703,0.231139,0.4517,0.204033,1.702703,0.231139,0.436511,0.190542,8.73,-1.3825,1.9114,2,0.25,0.0643,0,-1.94,3.747,0.864742,0.747778,1.696679,2.878718,-1.414631,2.00118,0
141,026-59982,4(2009-10),13-Mar-10,5:38,6:00,22,0,F,N,1,1Y,0.49,0.009571,0.000092,49,1,1,155,-21,441,15.5,-2.1,4.41,4.9,-0.0479,0.00229,0.5625,-0.249877,-0.029316,0.000859,0.5625,-0.249877,-0.044505,0.001981,9.12,-0.9899,0.9799,1,-0.75,0.5572,1,-0.94,0.8756,-0.198757,0.039504,1.722114,2.965676,-0.772124,0.596175,2
143,026-59984,4(2009-10),29-Dec-09,5:02,5:28,26,0,F,pre,1,1Y,0.44,-0.040429,0.001634,44,-4,16,159,-17,289,15.9,-1.7,2.89,5.4,0.4521,0.204433,1.222222,0.08715,0.307712,0.094687,1.222222,0.08715,0.292522,0.085569,8.54,-1.5746,2.4794,1,-0.75,0.5572,3.5,1.56,2.447,-1.424504,2.029213,2.612147,6.82331,0.670498,0.449568,0
145,026-59986,4(2009-10),25-Mar-10,5:40,7:45,125,0,F,N,1,1Y,0.5,0.019571,0.000383,50,2,4,184,8,64,18.4,0.8,0.64,4,-0.9479,0.898433,1.083333,0.034762,0.255324,0.06519,1.083333,0.034762,0.240134,0.057664,10,-0.1084,0.0118,1.5,-0.25,0.0607,1,-0.94,0.8756,1.269002,1.610366,0.814162,0.662859,-0.255633,0.065348,3
147,026-59995,4(2009-10),31-Mar-10,5:42,10:08,266,1,M,I,2,A1Y,0.54,0.059571,0.003549,54,6,36,194,18,324,19.4,1.8,3.24,5,0.0521,0.002719,0.388889,-0.410174,-0.189613,0.035953,0.388889,-0.410174,-0.204802,0.041944,10.04,-0.0682,0.0046,2,0.25,0.0643,3.5,1.56,2.447,1.300646,1.691679,-1.150794,1.324327,1.689352,2.853909,0
151,026-60016,4(2009-10),3-Mar-10,5:35,10:50,315,1,M,I,2,A1Y,0.48,-0.000429,0,48,0,0,165,-11,121,16.5,-1.1,1.21,4,-0.9479,0.898433,1.222222,0.08715,0.307712,0.094687,1.222222,0.08715,0.292522,0.085569,9.48,-0.6276,0.3939,2,0.25,0.0643,3,1.06,1.1327,0.286102,0.081855,1.017997,1.036319,-0.114516,0.013114,0
154,026-60039,4(2009-10),23-Dec-09,4:59,8:21,202,0,F,pre,3,A1Y,0.465,-0.015429,0.000238,46.5,-1.5,2.25,184,8,64,18.4,0.8,0.64,6.2,1.2521,1.567862,0.612903,-0.212608,0.007954,0.000063,0.612903,-0.212608,-0.007236,0.000052,10.18,0.0711,0.0051,2,0.25,0.0643,4,2.06,4.2613,-1.077227,1.160417,-0.789442,0.623219,1.653701,2.734726,3
155,026-60046,3(2008-09),5-Mar-09,6:36,9:09,153,1,M,I,1,1Y,0.49,0.009571,0.000092,49,1,1,175,-1,1,17.5,-0.1,0.01,5.1,0.1521,0.023147,0.234568,-0.629731,-0.40917,0.16742,0.234568,-0.629731,-0.424359,0.180081,10.07,-0.039,0.0015,1.5,-0.25,0.0607,3,1.06,1.1327,-0.321809,0.103561,-0.516798,0.26708,0.554692,0.307683,1
160,026-60055,4(2009-10),19-Dec-09,4:57,6:55,118,0,F,pre,3,A1Y,0.46,-0.020429,0.000417,46,-2,4,177,1,1,17.7,0.1,0.01,5.7,0.7521,0.565719,0.851852,-0.069636,0.150926,0.022779,0.851852,-0.069636,0.135736,0.018424,9.12,-0.9899,0.9799,1.5,-0.25,0.0607,2,0.06,0.0041,-0.364807,0.133084,1.06175,1.127312,0.310653,0.096505,2
165,026-65229,3(2008-09),21-Apr-09,5:46,8:18,152,0,F,N,1,1Y,0.54,0.059571,0.003549,54,6,36,198,22,484,19.8,2.2,4.84,4.5,-0.4479,0.200576,0.460317,-0.336943,-0.116381,0.013545,0.460317,-0.336943,-0.131571,0.017311,10.07,-0.039,0.0015,1,-0.75,0.5572,2,0.06,0.0041,1.62659,2.645796,0.131737,0.017355,1.317512,1.735838,0
166,026-65242,3(2008-09),21-Apr-09,5:46,5:43,-3,1,M,N,1,1Y,0.57,0.089571,0.008023,57,9,81,211,35,1225,21.1,3.5,12.25,5.4,0.4521,0.204433,0.461538,-0.335792,-0.11523,0.013278,0.461538,-0.335792,-0.13042,0.017009,9.5,-0.6135,0.3764,2,0.25,0.0643,1,-0.94,0.8756,2.987798,8.926936,-1.011529,1.02319,1.189947,1.415974,1
167,026-65243,3(2008-09),16-Apr-09,5:45,8:32,167,1,M,N,1,1Y,0.47,-0.010429,0.000109,47,-1,1,183,7,49,18.3,0.7,0.49,4.1,-0.8479,0.718862,2.84,0.453318,0.67388,0.454114,2.84,0.453318,0.65869,0.433873,9.11,-0.9996,0.9992,1.5,-0.25,0.0607,0,-1.94,3.747,1.367902,1.871155,2.294571,5.265057,-0.898746,0.807745,0
168,026-65320,4(2009-10),27-Mar-10,5:41,8:26,165,1,M,L,1,1Y,0.48,-0.000429,0,48,0,0,172,-4,16,17.2,-0.4,0.16,4.7,-0.2479,0.061433,0.5625,-0.249877,-0.029316,0.000859,0.5625,-0.249877,-0.044505,0.001981,9.61,-0.499,0.249,2,0.25,0.0643,0,-1.94,3.747,0.773827,0.598808,0.228895,0.052393,-1.558666,2.429439,0
170,026-67701,4(2009-10),13-Mar-10,5:38,6:00,22,0,F,N,2,A1Y,0.48,-0.000429,0,48,0,0,155,-21,441,15.5,-2.1,4.41,4.6,-0.3479,0.121005,1.040816,0.017374,0.237936,0.056613,1.040816,0.017374,0.222746,0.049616,9.62,-0.4854,0.2357,1.5,-0.25,0.0607,3,1.06,1.1327,-0.67766,0.459223,1.309146,1.713864,0.116817,0.013646,1
172,026-67727,4(2009-10),24-Mar-10,5:40,6:57,77,0,F,L,2,A1Y,0.48,-0.000429,0,48,0,0,171,-5,25,17.1,-0.5,0.25,6.2,1.2521,1.567862,0.785714,-0.104735,0.115826,0.013416,0.785714,-0.104735,0.100637,0.010128,10.74,0.6314,0.3987,2,0.25,0.0643,4,2.06,4.2613,-1.558382,2.428554,-0.898005,0.806414,1.591427,2.532639,0
173,026-67752,4(2009-10),24-Mar-10,5:40,6:10,30,1,M,L,2,A1Y,0.52,0.039571,0.001566,52,4,16,172,-4,16,17.2,-0.4,0.16,4.7,-0.2479,0.061433,0.851852,-0.069636,0.150926,0.022779,0.851852,-0.069636,0.135736,0.018424,9.2,-0.9055,0.8198,1,-0.75,0.5572,3,1.06,1.1327,0.47626,0.226824,1.543861,2.383508,1.176689,1.384596,0
174,026-67772,4(2009-10),13-Mar-10,5:38,6:00,22,1,M,N,2,A1Y,0.52,0.039571,0.001566,52,4,16,168,-8,64,16.8,-0.8,0.64,4.6,-0.3479,0.121005,0.851852,-0.069636,0.150926,0.022779,0.851852,-0.069636,0.135736,0.018424,10.14,0.0293,0.0009,2,0.25,0.0643,2.5,0.56,0.3184,0.491441,0.241515,-0.062377,0.003891,0.300731,0.090439,1
176,026-72402,4(2009-10),6-Feb-10,5:26,7:08,102,0,F,L,1,1Y,0.44,-0.040429,0.001634,44,-4,16,158,-18,324,15.8,-1.8,3.24,4.8,-0.1479,0.021862,0.5625,-0.249877,-0.029316,0.000859,0.5625,-0.249877,-0.044505,0.001981,11.69,1.5792,2.4937,2,0.25,0.0643,2,0.06,0.0041,-1.854714,3.439964,-0.990518,0.981126,-0.918337,0.843343,5
